customer_id,name,country,signup_date,updated_at
1,Customer_1,France,2025-01-13,2026-01-01
2,Customer_2,UK,2025-05-06,2026-01-01
3,Customer_3,Germany,2025-03-13,2026-01-01
4,Customer_4,France,2025-12-13,2026-01-01
5,Customer_5,Italy,2025-02-14,2026-01-01
6,Customer_6,Italy,2025-08-05,2026-01-01
7,Customer_7,France,2025-01-16,2026-01-01
8,Customer_8,France,2025-04-22,2026-01-01
9,Customer_9,Germany,2025-09-16,2026-01-01
10,Customer_10,Italy,2025-01-14,2026-01-01
11,Customer_11,Italy,2025-04-12,2026-01-01
12,Customer_12,Italy,2025-08-03,2026-01-01
13,Customer_13,Germany,2025-08-18,2026-01-01
14,Customer_14,Italy,2025-05-23,2026-01-01
15,Customer_15,France,2025-03-23,2026-01-01
16,Customer_16,Spain,2025-06-24,2026-01-01
17,Customer_17,UK,2025-03-21,2026-01-01
18,Customer_18,Germany,2025-06-22,2026-01-01
19,Customer_19,France,2025-02-17,2026-01-01
20,Customer_20,Spain,2025-02-19,2026-01-01
21,Customer_21,UK,2025-06-26,2026-01-01
22,Customer_22,Italy,2025-05-16,2026-01-01
23,Customer_23,France,2025-08-24,2026-01-01
24,Customer_24,Italy,2025-03-05,2026-01-01
25,Customer_25,Spain,2025-02-10,2026-01-01
26,Customer_26,Italy,2025-05-31,2026-01-01
27,Customer_27,Italy,2025-07-05,2026-01-01
28,Customer_28,Italy,2025-04-09,2026-01-01
29,Customer_29,France,2025-01-24,2026-01-01
30,Customer_30,Germany,2025-05-29,2026-01-01
31,Customer_31,France,2025-04-30,2026-01-01
32,Customer_32,France,2025-07-14,2026-01-01
33,Customer_33,UK,2025-08-21,2026-01-01
34,Customer_34,UK,2025-03-25,2026-01-01
35,Customer_35,UK,2025-07-01,2026-01-01
36,Customer_36,Germany,2025-12-10,2026-01-01
37,Customer_37,UK,2025-12-26,2026-01-01
38,Customer_38,France,2025-11-08,2026-01-01
39,Customer_39,Germany,2025-10-01,2026-01-01
40,Customer_40,Germany,2025-03-25,2026-01-01
41,Customer_41,Spain,2025-07-14,2026-01-01
42,Customer_42,UK,2025-11-24,2026-01-01
43,Customer_43,Italy,2025-04-23,2026-01-01
44,Customer_44,UK,2025-01-29,2026-01-01
45,Customer_45,Germany,2025-01-17,2026-01-01
46,Customer_46,UK,2025-07-25,2026-01-01
47,Customer_47,UK,2025-02-03,2026-01-01
48,Customer_48,Germany,2025-10-18,2026-01-01
49,Customer_49,UK,2025-04-19,2026-01-01
50,Customer_50,Spain,2025-07-22,2026-01-01
51,Customer_51,Spain,2025-03-15,2026-01-01
52,Customer_52,UK,2025-03-13,2026-01-01
53,Customer_53,Germany,2025-10-15,2026-01-01
54,Customer_54,Italy,2025-05-15,2026-01-01
55,Customer_55,Italy,2025-08-08,2026-01-01
56,Customer_56,Italy,2025-07-24,2026-01-01
57,Customer_57,UK,2025-04-23,2026-01-01
58,Customer_58,Germany,2025-09-18,2026-01-01
59,Customer_59,Spain,2025-02-16,2026-01-01
60,Customer_60,France,2025-02-26,2026-01-01
61,Customer_61,Germany,2025-11-18,2026-01-01
62,Customer_62,Germany,2025-12-15,2026-01-01
63,Customer_63,Spain,2025-11-02,2026-01-01
64,Customer_64,France,2025-07-17,2026-01-01
65,Customer_65,Spain,2025-11-02,2026-01-01
66,Customer_66,Spain,2025-09-28,2026-01-01
67,Customer_67,UK,2025-10-11,2026-01-01
68,Customer_68,France,2025-12-15,2026-01-01
69,Customer_69,France,2025-12-16,2026-01-01
70,Customer_70,Italy,2025-05-17,2026-01-01
71,Customer_71,UK,2025-02-27,2026-01-01
72,Customer_72,UK,2025-08-11,2026-01-01
73,Customer_73,Germany,2025-08-21,2026-01-01
74,Customer_74,France,2025-05-15,2026-01-01
75,Customer_75,Italy,2025-04-02,2026-01-01
76,Customer_76,Italy,2025-02-24,2026-01-01
77,Customer_77,UK,2025-11-24,2026-01-01
78,Customer_78,Italy,2025-11-08,2026-01-01
79,Customer_79,Germany,2025-03-20,2026-01-01
80,Customer_80,UK,2025-03-24,2026-01-01
81,Customer_81,Italy,2025-09-29,2026-01-01
82,Customer_82,France,2025-11-03,2026-01-01
83,Customer_83,UK,2025-09-08,2026-01-01
84,Customer_84,France,2025-02-27,2026-01-01
85,Customer_85,UK,2025-06-07,2026-01-01
86,Customer_86,Germany,2025-01-30,2026-01-01
87,Customer_87,Germany,2025-10-18,2026-01-01
88,Customer_88,France,2025-02-13,2026-01-01
89,Customer_89,Spain,2025-02-05,2026-01-01
90,Customer_90,Italy,2025-03-06,2026-01-01
91,Customer_91,Germany,2025-12-04,2026-01-01
92,Customer_92,Spain,2025-10-09,2026-01-01
93,Customer_93,Germany,2025-05-16,2026-01-01
94,Customer_94,Italy,2025-11-07,2026-01-01
95,Customer_95,Spain,2025-04-19,2026-01-01
96,Customer_96,Italy,2025-12-20,2026-01-01
97,Customer_97,Germany,2026-01-01,2026-01-01
98,Customer_98,UK,2025-07-24,2026-01-01
99,Customer_99,UK,2025-08-13,2026-01-01
100,Customer_100,Italy,2025-08-20,2026-01-01
