order_id,customer_id,product_id,quantity,amount,order_date,updated_at
1,31,17,2,408.44,2026-03-22,2026-03-22
2,39,30,4,191.8,2026-06-15,2026-06-15
3,2,30,3,838.26,2026-01-19,2026-01-19
4,10,35,5,1497.75,2026-01-26,2026-01-26
5,45,5,2,313.42,2026-02-03,2026-02-03
6,57,35,2,234.32,2026-02-10,2026-02-10
7,68,1,3,562.17,2026-06-17,2026-06-17
8,14,9,5,484.1,2026-06-19,2026-06-19
9,96,36,3,130.41,2026-01-28,2026-01-28
10,27,46,2,177.96,2026-06-04,2026-06-04
11,34,33,3,207.12,2026-06-12,2026-06-12
12,12,41,4,331.32,2026-01-14,2026-01-14
13,1,22,4,1002.04,2026-01-12,2026-01-12
14,21,48,2,389.52,2026-03-09,2026-03-09
15,72,1,4,679.96,2026-04-20,2026-04-20
16,20,35,1,31.82,2026-06-26,2026-06-26
17,71,10,1,252.03,2026-05-30,2026-05-30
18,47,3,4,187.84,2026-03-20,2026-03-20
19,86,7,3,212.76,2026-03-05,2026-03-05
20,80,48,3,708.69,2026-04-15,2026-04-15
21,21,12,2,556.94,2026-03-02,2026-03-02
22,53,43,4,68.76,2026-03-27,2026-03-27
23,14,25,2,174.74,2026-06-29,2026-06-29
24,26,30,1,258.99,2026-02-26,2026-02-26
25,29,2,3,295.53,2026-02-28,2026-02-28
26,9,50,2,251.12,2026-03-13,2026-03-13
27,52,44,3,335.49,2026-05-11,2026-05-11
28,15,17,5,530.15,2026-01-08,2026-01-08
29,5,7,2,356.74,2026-03-09,2026-03-09
30,56,39,5,680.1,2026-03-22,2026-03-22
31,25,17,5,217.7,2026-05-28,2026-05-28
32,67,35,1,215.55,2026-01-01,2026-01-01
33,86,22,2,231.24,2026-01-18,2026-01-18
34,93,20,5,505.2,2026-02-01,2026-02-01
35,42,26,5,498.45,2026-04-15,2026-04-15
36,54,43,3,512.34,2026-02-19,2026-02-19
37,79,37,4,825.68,2026-02-14,2026-02-14
38,39,19,3,383.28,2026-01-01,2026-01-01
39,78,42,2,269.34,2026-05-29,2026-05-29
40,87,14,3,434.55,2026-04-24,2026-04-24
41,85,6,5,736.1,2026-02-13,2026-02-13
42,80,22,3,478.44,2026-06-12,2026-06-12
43,87,20,1,247.34,2026-03-02,2026-03-02
44,4,3,2,487.8,2026-02-07,2026-02-07
45,99,5,2,590.68,2026-06-06,2026-06-06
46,74,13,4,520.76,2026-06-11,2026-06-11
47,19,42,4,613.48,2026-03-04,2026-03-04
48,100,28,1,268.87,2026-01-28,2026-01-28
49,67,30,2,122.02,2026-06-28,2026-06-28
50,59,9,1,171.65,2026-02-01,2026-02-01
51,77,21,4,814.4,2026-05-24,2026-05-24
52,55,36,4,750.68,2026-05-10,2026-05-10
53,58,17,4,1080.76,2026-05-02,2026-05-02
54,99,50,2,507.12,2026-03-12,2026-03-12
55,36,29,5,752.65,2026-03-03,2026-03-03
56,35,22,1,216.93,2026-03-02,2026-03-02
57,18,10,3,806.94,2026-01-21,2026-01-21
58,91,14,2,242.16,2026-02-09,2026-02-09
59,70,30,1,130.31,2026-03-26,2026-03-26
60,50,50,4,112.24,2026-04-18,2026-04-18
61,98,37,5,1421.8,2026-01-06,2026-01-06
62,39,49,4,593.28,2026-04-01,2026-04-01
63,69,48,4,1030.0,2026-04-18,2026-04-18
64,63,15,5,1209.8,2026-02-26,2026-02-26
65,50,22,3,409.17,2026-01-08,2026-01-08
66,17,40,4,880.04,2026-04-30,2026-04-30
67,76,37,5,89.1,2026-04-11,2026-04-11
68,18,30,1,34.34,2026-04-20,2026-04-20
69,42,14,2,49.16,2026-04-08,2026-04-08
70,36,49,4,419.16,2026-04-08,2026-04-08
71,61,2,4,332.64,2026-01-21,2026-01-21
72,29,42,5,125.5,2026-03-31,2026-03-31
73,6,49,1,236.56,2026-06-16,2026-06-16
74,3,40,1,285.39,2026-02-21,2026-02-21
75,86,8,2,158.36,2026-05-02,2026-05-02
76,90,17,5,1424.25,2026-04-30,2026-04-30
77,96,46,3,175.98,2026-06-05,2026-06-05
78,40,7,1,235.56,2026-02-11,2026-02-11
79,74,44,5,87.25,2026-03-21,2026-03-21
80,10,38,4,500.12,2026-02-20,2026-02-20
81,88,39,2,79.1,2026-03-19,2026-03-19
82,6,23,1,240.91,2026-05-25,2026-05-25
83,9,33,5,671.15,2026-04-05,2026-04-05
84,63,7,3,41.01,2026-04-18,2026-04-18
85,59,46,4,1154.52,2026-06-12,2026-06-12
86,84,18,2,272.58,2026-05-14,2026-05-14
87,100,31,5,1221.9,2026-05-18,2026-05-18
88,35,21,4,545.28,2026-06-01,2026-06-01
89,36,29,2,501.82,2026-01-23,2026-01-23
90,79,43,2,455.28,2026-05-26,2026-05-26
91,42,12,4,430.24,2026-05-07,2026-05-07
92,44,18,4,286.04,2026-03-08,2026-03-08
93,72,1,5,1066.7,2026-03-12,2026-03-12
94,31,47,5,1424.7,2026-01-22,2026-01-22
95,89,31,4,606.76,2026-03-03,2026-03-03
96,12,19,4,559.88,2026-01-05,2026-01-05
97,40,43,2,254.56,2026-03-04,2026-03-04
98,68,23,5,585.1,2026-05-22,2026-05-22
99,43,23,4,1196.08,2026-05-21,2026-05-21
100,30,8,4,354.28,2026-03-06,2026-03-06
101,98,45,2,203.02,2026-05-18,2026-05-18
102,36,47,2,131.1,2026-05-04,2026-05-04
103,77,19,5,1466.1,2026-05-15,2026-05-15
104,30,24,1,251.46,2026-03-17,2026-03-17
105,17,18,2,195.32,2026-05-17,2026-05-17
106,38,45,1,292.55,2026-05-22,2026-05-22
107,14,1,2,389.96,2026-05-06,2026-05-06
108,57,22,5,462.3,2026-05-03,2026-05-03
109,62,8,2,579.98,2026-03-06,2026-03-06
110,74,41,1,126.21,2026-01-19,2026-01-19
111,39,6,1,54.0,2026-05-25,2026-05-25
112,78,39,2,88.7,2026-04-17,2026-04-17
113,49,29,5,377.25,2026-05-14,2026-05-14
114,55,20,4,384.92,2026-05-31,2026-05-31
115,95,7,5,950.5,2026-06-06,2026-06-06
116,85,6,2,382.8,2026-03-09,2026-03-09
117,10,11,2,159.12,2026-05-22,2026-05-22
118,77,31,1,128.47,2026-06-26,2026-06-26
119,91,19,3,58.41,2026-03-15,2026-03-15
120,34,41,4,122.56,2026-03-01,2026-03-01
121,55,8,5,1008.7,2026-02-20,2026-02-20
122,35,10,5,375.95,2026-02-08,2026-02-08
123,77,48,1,27.3,2026-03-20,2026-03-20
124,16,30,5,1385.75,2026-04-23,2026-04-23
125,65,35,3,638.76,2026-03-11,2026-03-11
126,6,28,4,547.8,2026-06-03,2026-06-03
127,12,15,3,555.24,2026-01-07,2026-01-07
128,98,44,5,901.35,2026-01-06,2026-01-06
129,61,34,3,531.33,2026-02-14,2026-02-14
130,75,28,4,1102.64,2026-02-16,2026-02-16
131,45,27,4,1164.12,2026-05-01,2026-05-01
132,21,22,3,309.33,2026-01-27,2026-01-27
133,85,26,4,844.68,2026-03-15,2026-03-15
134,41,17,5,103.2,2026-01-23,2026-01-23
135,66,1,3,130.86,2026-04-14,2026-04-14
136,25,34,5,719.85,2026-01-14,2026-01-14
137,81,29,3,571.68,2026-05-08,2026-05-08
138,17,19,1,69.03,2026-05-21,2026-05-21
139,16,2,4,1061.8,2026-05-05,2026-05-05
140,40,36,5,1209.0,2026-02-10,2026-02-10
141,29,8,1,170.15,2026-01-24,2026-01-24
142,20,32,4,1138.6,2026-06-15,2026-06-15
143,54,31,3,472.71,2026-03-11,2026-03-11
144,19,25,4,322.72,2026-05-22,2026-05-22
145,96,9,2,554.68,2026-05-11,2026-05-11
146,44,33,1,90.11,2026-04-17,2026-04-17
147,93,20,3,743.88,2026-03-14,2026-03-14
148,63,10,5,890.9,2026-06-18,2026-06-18
149,43,36,4,664.76,2026-03-30,2026-03-30
150,25,45,5,596.95,2026-03-24,2026-03-24
151,100,27,2,351.64,2026-03-01,2026-03-01
152,91,25,1,102.27,2026-05-02,2026-05-02
153,20,32,4,1186.56,2026-06-16,2026-06-16
154,43,7,1,46.61,2026-06-01,2026-06-01
155,2,47,4,155.68,2026-04-27,2026-04-27
156,20,5,2,257.78,2026-06-17,2026-06-17
157,44,40,4,946.56,2026-03-09,2026-03-09
158,87,35,4,793.8,2026-03-26,2026-03-26
159,92,49,4,1146.8,2026-06-10,2026-06-10
160,80,5,4,1051.96,2026-01-10,2026-01-10
161,30,48,2,386.08,2026-03-15,2026-03-15
162,98,41,1,135.85,2026-01-26,2026-01-26
163,39,2,1,138.67,2026-06-27,2026-06-27
164,38,23,1,104.07,2026-01-15,2026-01-15
165,68,27,3,404.7,2026-03-04,2026-03-04
166,22,12,5,1038.6,2026-02-16,2026-02-16
167,80,44,1,186.75,2026-04-08,2026-04-08
168,19,15,2,308.64,2026-05-30,2026-05-30
169,33,43,4,779.96,2026-04-28,2026-04-28
170,37,44,1,270.68,2026-04-30,2026-04-30
171,45,38,5,279.05,2026-04-24,2026-04-24
172,89,17,3,585.87,2026-04-19,2026-04-19
173,50,31,4,1020.56,2026-02-20,2026-02-20
174,46,37,1,78.79,2026-05-27,2026-05-27
175,3,43,3,893.64,2026-03-17,2026-03-17
176,88,50,4,358.4,2026-05-25,2026-05-25
177,37,50,1,274.08,2026-05-08,2026-05-08
178,29,41,2,372.1,2026-04-01,2026-04-01
179,97,47,2,380.12,2026-06-23,2026-06-23
180,83,3,2,384.38,2026-06-10,2026-06-10
181,75,24,3,716.1,2026-01-09,2026-01-09
182,42,48,2,72.28,2026-03-17,2026-03-17
183,70,24,4,243.76,2026-02-03,2026-02-03
184,22,17,5,777.6,2026-03-11,2026-03-11
185,96,22,4,1162.16,2026-03-17,2026-03-17
186,19,49,1,145.82,2026-01-20,2026-01-20
187,51,36,2,518.88,2026-06-22,2026-06-22
188,2,17,3,108.57,2026-04-12,2026-04-12
189,87,48,5,229.2,2026-04-05,2026-04-05
190,48,7,3,538.56,2026-06-13,2026-06-13
191,72,21,2,293.46,2026-06-08,2026-06-08
192,82,30,5,371.0,2026-01-17,2026-01-17
193,18,3,3,594.84,2026-01-30,2026-01-30
194,15,7,1,98.27,2026-05-07,2026-05-07
195,50,30,2,534.62,2026-02-04,2026-02-04
196,70,27,3,613.32,2026-06-28,2026-06-28
197,54,42,5,1126.3,2026-02-09,2026-02-09
198,53,18,1,251.77,2026-06-07,2026-06-07
199,57,29,1,210.18,2026-02-25,2026-02-25
200,88,24,2,516.16,2026-01-26,2026-01-26
201,46,4,5,1357.45,2026-06-15,2026-06-15
202,59,6,4,360.04,2026-02-01,2026-02-01
203,3,4,2,392.18,2026-06-02,2026-06-02
204,73,14,3,241.89,2026-02-02,2026-02-02
205,27,38,1,250.65,2026-05-22,2026-05-22
206,43,50,2,491.58,2026-03-01,2026-03-01
207,1,18,2,477.42,2026-06-02,2026-06-02
208,33,12,2,592.76,2026-05-19,2026-05-19
209,17,1,1,201.71,2026-01-07,2026-01-07
210,76,21,3,717.3,2026-03-02,2026-03-02
211,17,48,1,60.53,2026-01-14,2026-01-14
212,61,29,4,650.24,2026-01-17,2026-01-17
213,58,33,3,476.52,2026-01-28,2026-01-28
214,94,43,2,568.34,2026-01-12,2026-01-12
215,4,4,5,487.35,2026-06-14,2026-06-14
216,88,7,4,1022.88,2026-04-20,2026-04-20
217,10,6,4,866.4,2026-04-24,2026-04-24
218,17,18,3,559.23,2026-01-17,2026-01-17
219,92,21,5,967.95,2026-05-21,2026-05-21
220,38,30,4,1193.76,2026-05-16,2026-05-16
221,90,8,5,927.85,2026-01-26,2026-01-26
222,56,29,5,1095.2,2026-02-25,2026-02-25
223,52,27,2,260.02,2026-04-27,2026-04-27
224,86,17,1,100.64,2026-03-22,2026-03-22
225,61,5,3,859.62,2026-06-25,2026-06-25
