product_id,product_name,category,price,updated_at
1,Product_1,Electronics,131.47,2026-01-01
2,Product_2,Electronics,175.66,2026-01-01
3,Product_3,Sports,281.42,2026-01-01
4,Product_4,Sports,117.91,2026-01-01
5,Product_5,Electronics,356.84,2026-01-01
6,Product_6,Electronics,122.18,2026-01-01
7,Product_7,Electronics,431.22,2026-01-01
8,Product_8,Electronics,261.94,2026-01-01
9,Product_9,Books,337.8,2026-01-01
10,Product_10,Clothing,274.22,2026-01-01
11,Product_11,Sports,292.34,2026-01-01
12,Product_12,Clothing,394.46,2026-01-01
13,Product_13,Home,103.3,2026-01-01
14,Product_14,Electronics,332.9,2026-01-01
15,Product_15,Books,217.55,2026-01-01
16,Product_16,Home,433.28,2026-01-01
17,Product_17,Electronics,339.95,2026-01-01
18,Product_18,Electronics,39.7,2026-01-01
19,Product_19,Books,402.29,2026-01-01
20,Product_20,Electronics,131.84,2026-01-01
21,Product_21,Clothing,272.78,2026-01-01
22,Product_22,Clothing,216.72,2026-01-01
23,Product_23,Books,236.69,2026-01-01
24,Product_24,Electronics,227.13,2026-01-01
25,Product_25,Sports,57.98,2026-01-01
26,Product_26,Sports,419.65,2026-01-01
27,Product_27,Electronics,463.92,2026-01-01
28,Product_28,Clothing,91.49,2026-01-01
29,Product_29,Home,245.87,2026-01-01
30,Product_30,Home,452.2,2026-01-01
31,Product_31,Clothing,195.7,2026-01-01
32,Product_32,Home,139.95,2026-01-01
33,Product_33,Home,149.77,2026-01-01
34,Product_34,Sports,334.32,2026-01-01
35,Product_35,Home,85.85,2026-01-01
36,Product_36,Books,116.67,2026-01-01
37,Product_37,Electronics,293.8,2026-01-01
38,Product_38,Sports,39.87,2026-01-01
39,Product_39,Books,38.01,2026-01-01
40,Product_40,Sports,243.63,2026-01-01
41,Product_41,Sports,87.14,2026-01-01
42,Product_42,Sports,49.25,2026-01-01
43,Product_43,Clothing,43.58,2026-01-01
44,Product_44,Electronics,340.85,2026-01-01
45,Product_45,Clothing,207.85,2026-01-01
46,Product_46,Sports,130.65,2026-01-01
47,Product_47,Sports,29.47,2026-01-01
48,Product_48,Electronics,215.42,2026-01-01
49,Product_49,Sports,286.96,2026-01-01
50,Product_50,Books,468.01,2026-01-01
